Type d'acte;Année;Arrondissement;Nombres
Naissances;2004;1er arrdt;7
Naissances;2004;12ème arrdt;8092
Naissances;2005;7ème arrdt;3
Naissances;2008;1er arrdt;4
Naissances;2008;12ème arrdt;10831
Naissances;2009;3ème arrdt;5
Naissances;2010;9ème arrdt;1
Naissances;2010;13ème arrdt;3264
Naissances;2013;18ème arrdt;2202
Naissances;2014;15ème arrdt;5960
Naissances;2015;4ème arrdt;1
Naissances;2016;10ème arrdt;2627
Naissances;2018;5ème arrdt;2
Naissances;2018;7ème arrdt;0
Naissances;2019;5ème arrdt;3
Naissances;2020;14ème arrdt;10384
Naissances;2020;17ème arrdt;1237
Reconnaissances;2004;4ème arrdt;144
Reconnaissances;2004;8ème arrdt;140
Reconnaissances;2004;19ème arrdt;1579
Reconnaissances;2005;5ème arrdt;192
Reconnaissances;2005;18ème arrdt;2170
Reconnaissances;2006;2ème arrdt;101
Reconnaissances;2006;6ème arrdt;109
Reconnaissances;2008;12ème arrdt;865
Reconnaissances;2009;12ème arrdt;792
Reconnaissances;2009;13ème arrdt;922
Reconnaissances;2009;17ème arrdt;607
Reconnaissances;2010;4ème arrdt;104
Reconnaissances;2010;5ème arrdt;149
Reconnaissances;2010;6ème arrdt;91
Reconnaissances;2012;7ème arrdt;87
Reconnaissances;2012;18ème arrdt;1200
Reconnaissances;2013;1er arrdt;54
Reconnaissances;2013;3ème arrdt;141
Reconnaissances;2014;19ème arrdt;1041
Reconnaissances;2015;9ème arrdt;223
Reconnaissances;2016;3ème arrdt;133
Reconnaissances;2016;17ème arrdt;548
Reconnaissances;2016;18ème arrdt;1210
Reconnaissances;2018;3ème arrdt;116
Reconnaissances;2018;12ème arrdt;747
Reconnaissances;2019;10ème arrdt;589
Reconnaissances;2019;20ème arrdt;784
Reconnaissances;2020;5ème arrdt;99
Reconnaissances;2020;16ème arrdt;205
Mariages;2004;5ème arrdt;336
Mariages;2005;7ème arrdt;284
Mariages;2005;13ème arrdt;866
Mariages;2006;1er arrdt;120
Mariages;2006;11ème arrdt;734
Naissances;2004;3ème arrdt;4
Mariages;2006;18ème arrdt;1079
Naissances;2004;19ème arrdt;2649
Mariages;2010;16ème arrdt;747
Naissances;2006;9ème arrdt;3
Mariages;2013;8ème arrdt;212
Naissances;2007;5ème arrdt;2
Mariages;2014;20ème arrdt;787
Naissances;2007;13ème arrdt;3288
Mariages;2015;1er arrdt;105
Naissances;2009;7ème arrdt;3
Mariages;2015;11ème arrdt;621
Naissances;2009;20ème arrdt;2279
Mariages;2018;9ème arrdt;311
Naissances;2010;8ème arrdt;2
Mariages;2019;10ème arrdt;361
Naissances;2011;3ème arrdt;5
Décès;2006;18ème arrdt;1527
Naissances;2011;6ème arrdt;1
Décès;2007;19ème arrdt;455
Naissances;2014;4ème arrdt;1
Décès;2008;15ème arrdt;3397
Naissances;2016;15ème arrdt;5830
Décès;2009;6ème arrdt;104
Naissances;2016;16ème arrdt;1283
Décès;2009;17ème arrdt;359
Naissances;2019;11ème arrdt;8
Décès;2013;6ème arrdt;112
Reconnaissances;2004;7ème arrdt;154
Décès;2014;9ème arrdt;104
Reconnaissances;2005;2ème arrdt;115
Décès;2014;15ème arrdt;3415
Reconnaissances;2005;11ème arrdt;1445
